date,site_id,units_produced,downtime_minutes,power_kwh,rework_units,defects_ppm,staff_count,material_cost_per_unit,price_per_unit,temperature_c,rainfall_mm,holiday_flag
2025-01-03,S1,1128,60,3565,32,591,53,72.01,96.06,22.8,0.0,0
2025-01-03,S1,1162,62,3954,28,267,54,72.44,96.33,22.0,0.0,0
2025-01-03,S1,1176,15,3991,26,364,53,72.16,96.08,22.3,0.0,0
2025-01-03,S1,1038,53,3550,26,505,51,72.22,95.88,23.5,2.3,0
2025-01-04,S1,1312,62,4243,32,459,54,72.0,96.1,22.4,0.0,0
2025-01-04,S1,1118,20,3787,27,517,53,72.39,96.09,20.8,0.0,0
2025-01-04,S1,1222,39,4129,34,507,54,72.32,96.25,20.6,0.0,0
2025-01-04,S1,1136,31,3862,27,453,53,72.13,96.19,23.0,0.0,0
2025-01-04,S1,1139,60,3725,32,674,55,72.31,96.37,22.9,0.0,0
2025-01-04,S1,1118,53,3843,19,370,54,72.22,96.28,22.2,0.0,0
2025-01-04,S1,1041,71,3660,15,415,54,71.64,95.76,24.0,0.0,0
2025-01-04,S1,1348,32,4554,35,387,54,72.26,95.99,22.7,0.0,0
2025-01-04,S1,1116,71,3883,27,573,55,72.02,96.05,21.4,0.0,0
2025-01-04,S1,1364,76,4870,36,515,56,72.9,96.79,22.8,0.0,0
2025-01-04,S1,1190,67,4155,26,222,56,72.48,96.3,20.3,0.0,0
2025-01-04,S1,1143,76,3719,29,376,51,71.9,96.35,21.6,0.0,0
2025-01-05,S1,979,56,3117,27,418,49,72.33,95.75,23.4,0.0,0
2025-01-05,S1,988,45,3425,23,426,52,71.9,96.36,20.8,0.0,0
2025-01-05,S1,900,31,3066,27,443,53,72.71,96.37,25.1,0.0,0
2025-01-05,S1,1029,188,4710,26,494,53,72.2,96.12,23.3,0.0,0
2025-01-05,S1,1165,78,4023,18,559,54,72.16,96.25,22.6,0.0,0
2025-01-05,S1,1029,45,3663,18,600,52,71.59,96.48,22.6,0.0,0
2025-01-05,S1,1067,55,3422,23,420,55,71.93,96.1,21.1,0.0,0
2025-01-05,S1,0,0,0,0,0,0,0.0,0.0,21.9,0.0,1
2025-01-05,S1,1034,60,3502,15,361,53,72.34,96.11,24.8,0.0,0
2025-01-05,S1,0,0,0,0,0,0,0.0,0.0,21.1,0.0,1
2025-01-05,S1,1074,53,3727,26,439,51,72.47,96.26,23.6,0.0,0
2025-01-05,S1,1031,281,5611,23,395,51,71.91,96.05,22.3,0.0,0
2025-01-06,S1,1177,44,3798,15,332,54,72.07,96.16,22.6,0.0,0
2025-01-06,S1,1402,77,4978,40,476,56,72.11,96.06,20.8,0.0,0
2025-01-06,S1,1244,13,4317,17,334,54,72.23,96.37,25.7,0.0,0
2025-01-06,S1,1124,40,3710,36,403,54,72.39,96.09,22.1,0.0,0
2025-01-06,S1,1313,309,6832,28,500,53,72.27,96.99,21.6,0.0,0
2025-01-06,S1,1309,73,4728,38,519,56,71.82,96.24,23.2,0.0,0
2025-01-06,S1,1171,62,3833,30,556,53,72.04,96.01,23.0,0.0,0
2025-01-06,S1,1367,85,4440,37,562,57,72.28,95.64,20.9,1.0,0
2025-01-06,S1,1388,55,4657,30,572,56,72.11,95.89,22.7,1.0,0
2025-01-06,S1,1122,58,3692,24,562,54,73.48,97.75,24.3,0.0,0
2025-01-06,S1,1271,58,4520,34,445,53,72.19,96.2,22.6,0.0,0
2025-01-06,S1,1136,311,6217,35,622,54,71.74,96.03,23.2,0.0,0
2025-01-07,S1,1248,67,4088,38,533,51,72.21,95.95,22.0,0.0,0
2025-01-07,S1,1248,65,4108,26,542,54,72.13,96.13,22.1,0.0,0
2025-01-07,S1,1313,48,4427,36,407,57,72.47,96.92,23.3,0.0,0
2025-01-07,S1,1217,53,4185,31,405,54,72.06,96.05,23.2,3.5,0
2025-01-07,S1,1198,61,3960,24,498,53,71.87,96.67,20.9,0.0,0
2025-01-07,S1,1347,232,6231,18,507,53,71.98,96.0,22.1,0.0,0
2025-01-07,S1,1171,50,3844,24,523,54,71.94,96.33,22.9,0.0,0
2025-01-07,S1,1305,5,4338,25,308,55,72.25,95.96,23.9,0.0,0
2025-01-07,S1,0,0,0,0,0,0,0.0,0.0,23.1,1.2,1
2025-01-07,S1,1422,62,4711,24,402,53,73.81,98.25,22.7,0.0,0
2025-01-07,S1,1209,78,4345,34,427,54,71.84,96.35,21.4,0.0,0
2025-01-07,S1,0,0,0,0,0,0,0.0,0.0,22.2,0.0,1
2025-01-08,S1,1150,52,4143,26,518,53,72.0,96.12,22.2,0.7,0
2025-01-08,S1,1257,69,4206,23,402,55,71.98,96.2,19.7,0.0,0
2025-01-08,S1,1152,59,3924,26,548,55,72.25,96.71,22.5,0.0,0
2025-01-08,S1,1229,89,4501,26,400,55,71.8,96.11,22.2,0.0,0
2025-01-08,S1,1439,50,5143,23,351,55,72.73,96.89,22.3,0.0,0
2025-01-08,S1,1316,61,4523,32,468,55,72.03,96.41,23.5,0.0,0
2025-01-08,S1,1197,44,3877,17,380,55,71.68,95.99,22.6,0.0,0
2025-01-08,S1,1289,60,4274,39,509,58,72.42,96.07,22.3,0.0,0
2025-01-08,S1,1157,77,4070,26,564,52,72.49,96.1,24.1,0.0,0
2025-01-08,S1,1343,55,4665,26,378,56,71.95,96.21,24.5,0.0,0
2025-01-08,S1,1490,71,5105,35,422,56,72.37,95.98,23.3,3.5,0
2025-01-09,S1,1094,40,3699,23,538,55,72.01,96.16,20.8,0.0,0
2025-01-09,S1,1360,28,4821,31,394,56,71.9,96.61,23.5,0.0,0
2025-01-09,S1,0,0,0,0,0,0,0.0,0.0,24.0,0.0,1
2025-01-09,S1,1151,24,3929,20,450,51,72.47,96.26,24.2,0.0,0
2025-01-09,S1,1319,226,6053,21,607,55,72.38,97.07,23.7,1.2,0
2025-01-09,S1,1249,23,4163,29,500,52,72.2,96.27,24.9,0.0,0
2025-01-09,S1,1302,280,6371,19,592,54,71.85,96.32,22.8,0.0,0
2025-01-09,S1,1393,42,4394,33,596,54,71.97,95.91,20.9,0.0,0
2025-01-09,S1,1331,87,5023,22,412,57,71.26,96.01,22.7,0.0,0
2025-01-09,S1,1277,69,4483,34,239,54,72.34,96.02,22.4,0.0,0
2025-01-09,S1,1196,57,3539,34,407,56,71.34,96.03,22.3,0.0,0
2025-01-10,S1,0,0,0,0,0,0,0.0,0.0,20.6,0.0,1
2025-01-10,S1,1256,96,4361,32,474,54,72.29,96.36,22.8,0.0,0
2025-01-10,S1,1173,62,4223,19,492,53,72.68,97.0,19.5,0.0,0
2025-01-10,S1,1202,255,6147,21,546,54,72.04,96.35,22.1,0.0,0
2025-01-10,S1,1230,116,5012,27,441,54,72.1,96.81,22.7,0.0,0
2025-01-10,S1,1448,62,4828,26,438,57,72.04,96.22,22.5,0.0,0
2025-01-10,S1,1312,58,4679,26,417,50,71.54,96.01,23.3,0.0,0
2025-01-10,S1,1230,72,4133,31,478,54,72.29,95.99,23.2,0.0,0
2025-01-10,S1,1157,57,3825,34,603,53,72.27,96.36,21.8,0.0,0
2025-01-10,S1,1034,72,3437,29,535,53,72.19,96.45,23.7,0.0,0
2025-01-10,S1,1105,65,3624,26,609,54,72.14,95.96,22.1,0.0,0
2025-01-11,S1,1264,189,5834,23,254,55,71.72,96.15,23.3,0.0,0
2025-01-11,S1,1247,43,3983,35,486,51,72.2,96.38,21.5,0.0,0
2025-01-11,S1,1201,43,4249,21,481,55,72.78,97.06,22.6,0.0,0
2025-01-11,S1,1279,47,4396,37,407,51,72.27,96.02,23.3,2.4,0
2025-01-11,S1,1208,71,4113,28,477,55,72.51,97.18,20.6,0.0,0
2025-01-11,S1,1288,21,4519,29,364,54,72.34,96.32,24.1,0.0,0
2025-01-11,S1,1295,74,4353,19,324,53,72.08,96.02,21.0,0.0,0
2025-01-11,S1,1168,76,3999,19,464,52,72.27,95.82,20.9,0.0,0
2025-01-11,S1,1328,72,4739,25,500,55,72.57,96.0,22.6,0.0,0
2025-01-11,S1,1210,61,4129,27,529,53,72.08,96.37,23.4,0.0,0
2025-01-11,S1,1199,78,4219,19,572,53,72.1,96.04,21.9,0.0,0
2025-01-12,S1,1091,60,3435,24,430,51,72.16,96.17,22.3,0.0,0
2025-01-12,S1,1164,41,4084,25,288,52,72.06,96.68,23.7,0.0,0
2025-01-12,S1,1245,52,4140,31,475,53,72.9,97.06,22.6,0.0,0
2025-01-12,S1,1041,56,3561,30,473,52,72.14,96.33,21.6,0.0,0
2025-01-12,S1,1026,77,3530,31,471,52,72.32,97.16,24.5,0.0,0
2025-01-12,S1,1235,37,4268,23,375,53,72.46,96.5,22.1,0.0,0
2025-01-12,S1,1034,56,3109,22,543,51,71.73,96.29,23.9,0.0,0
2025-01-12,S1,1104,293,5798,29,501,51,72.11,96.09,22.5,0.0,0
2025-01-12,S1,1059,82,3778,16,345,51,72.09,95.83,22.0,0.0,0
2025-01-12,S1,1106,60,3727,23,544,50,71.89,96.13,23.3,0.0,0
2025-01-12,S1,879,48,3059,28,306,51,72.64,96.24,21.7,0.0,0
2025-01-13,S1,1221,67,4272,34,348,56,72.12,96.36,24.2,0.0,0
2025-01-13,S1,1252,60,4141,33,508,55,71.94,96.71,20.9,0.0,0
2025-01-13,S1,1289,79,4458,31,399,53,72.68,97.26,19.1,0.0,0
2025-01-13,S1,1151,62,3957,21,361,55,72.08,96.19,21.2,0.0,0
2025-01-13,S1,1127,57,3983,23,395,51,72.45,97.1,22.2,0.0,0
2025-01-13,S1,0,0,0,0,0,0,0.0,0.0,22.8,0.0,1
2025-01-13,S1,1137,43,3875,30,246,52,72.23,96.19,20.1,0.0,0
2025-01-13,S1,1234,77,4230,27,447,53,71.99,96.17,22.3,0.0,0
2025-01-13,S1,1133,241,5737,22,269,51,72.63,96.21,21.8,0.0,0
2025-01-13,S1,1226,49,4108,18,574,54,71.95,96.41,20.8,0.0,0
2025-01-13,S1,1453,38,5065,37,484,54,72.13,96.17,21.9,0.0,0
2025-01-14,S1,0,0,0,0,0,0,0.0,0.0,22.4,0.0,1
2025-01-14,S1,1078,40,3793,22,499,54,72.38,96.69,21.2,0.0,0
2025-01-14,S1,1404,38,4726,22,469,56,73.06,97.39,21.8,0.0,0
2025-01-14,S1,1255,78,4326,31,484,54,72.65,96.47,21.8,0.0,0
2025-01-14,S1,1218,59,4027,24,586,55,72.73,97.4,21.5,0.0,0
2025-01-14,S1,1218,62,4146,23,521,53,72.29,96.41,21.2,0.0,0
2025-01-14,S1,1361,66,4423,29,611,55,71.81,95.98,21.7,0.0,0
2025-01-14,S1,1242,58,4029,17,493,56,71.9,96.09,19.9,0.0,0
2025-01-14,S1,1350,240,6331,21,461,54,71.38,96.06,20.8,0.0,0
2025-01-14,S1,1414,44,4695,30,319,58,72.4,96.12,22.4,0.0,0
2025-01-14,S1,1365,34,4525,34,435,56,72.4,96.29,22.9,0.0,0
2025-01-15,S1,1215,64,4340,20,279,55,72.15,96.36,23.5,0.0,0
2025-01-15,S1,1084,44,3618,25,315,54,72.35,96.85,21.5,0.0,0
2025-01-15,S1,1430,35,4975,26,305,54,71.93,96.15,20.8,0.0,0
2025-01-15,S1,1393,30,4842,31,495,53,72.51,97.43,22.3,0.0,0
2025-01-15,S1,1212,34,4191,26,353,57,72.25,96.51,21.5,0.0,0
2025-01-15,S1,1181,17,3883,34,470,54,72.02,95.9,21.5,0.0,0
2025-01-15,S1,1383,69,4637,37,406,58,72.21,96.34,19.8,0.0,0
2025-01-15,S1,1118,54,3897,24,550,55,72.58,96.13,23.3,0.0,0
2025-01-15,S1,1267,59,4413,25,325,52,71.84,96.25,20.8,0.0,0
2025-01-15,S1,1266,67,4155,32,366,50,72.59,96.16,19.9,0.0,0
2025-01-16,S1,1260,62,4371,34,406,53,72.07,96.12,21.5,0.0,0
2025-01-16,S1,1112,82,4054,29,434,55,72.71,96.79,19.0,0.0,0
2025-01-16,S1,1210,46,4350,23,657,53,72.77,96.28,21.8,0.0,0
2025-01-16,S1,1278,29,4426,35,582,55,72.99,97.73,23.2,0.0,0
2025-01-16,S1,1150,36,3813,32,360,52,72.6,96.84,20.2,0.0,0
2025-01-16,S1,1509,71,4804,41,562,54,72.03,96.05,20.6,0.0,0
2025-01-16,S1,1176,58,3857,21,536,54,71.93,96.3,22.6,0.0,0
2025-01-16,S1,0,0,0,0,0,0,0.0,0.0,21.2,0.0,1
2025-01-16,S1,1180,62,3944,23,421,53,72.13,96.52,23.5,0.0,0
2025-01-16,S1,1111,49,3716,25,335,53,72.49,96.16,23.7,0.0,0
2025-01-17,S1,1420,55,4931,41,408,55,71.85,96.22,23.3,0.0,0
2025-01-17,S1,1448,82,5165,33,450,55,72.33,96.83,20.7,0.0,0
2025-01-17,S1,0,0,0,0,0,0,0.0,0.0,22.1,0.0,1
2025-01-17,S1,1119,44,3961,30,530,52,72.41,97.69,22.1,1.7,0
2025-01-17,S1,1225,61,4263,26,553,54,72.81,96.96,20.4,3.0,0
2025-01-17,S1,1185,10,3935,25,477,52,71.86,96.23,21.9,0.0,0
2025-01-17,S1,1373,94,4991,34,250,55,72.07,96.16,23.0,0.0,0
2025-01-17,S1,1273,90,4601,35,584,55,71.91,96.07,21.9,0.0,0
2025-01-17,S1,1325,38,4474,22,371,55,71.85,96.3,23.0,0.0,0
2025-01-17,S1,1277,44,4294,36,493,56,72.38,96.48,22.1,0.0,0
2025-01-18,S1,1193,78,4356,35,512,52,72.39,96.56,23.7,0.0,0
2025-01-18,S1,1195,48,4024,20,308,53,72.78,96.98,21.9,0.0,0
2025-01-18,S1,1187,182,5294,19,509,55,72.18,96.41,21.9,0.0,0
2025-01-18,S1,925,52,3193,10,581,51,72.46,97.98,22.4,0.0,0
2025-01-18,S1,970,56,3391,21,537,50,72.21,96.86,23.2,0.0,0
2025-01-18,S1,1342,26,4093,30,410,54,72.12,96.0,20.4,0.0,0
2025-01-18,S1,0,0,0,0,0,0,0.0,0.0,21.9,0.0,1
2025-01-18,S1,1039,70,3535,30,327,52,71.92,95.98,22.1,0.0,0
2025-01-18,S1,1308,92,4830,20,360,56,72.26,96.57,22.3,0.0,0
2025-01-18,S1,1121,43,3651,26,486,55,72.4,96.14,22.3,0.0,0
2025-01-19,S1,853,57,2830,14,517,52,72.13,96.21,23.5,0.0,0
2025-01-19,S1,928,41,3065,18,419,52,72.32,96.89,21.0,0.0,0
2025-01-19,S1,960,36,3338,20,316,50,71.97,96.65,23.5,0.0,0
2025-01-19,S1,0,0,0,0,0,0,0.0,0.0,21.6,0.0,1
2025-01-19,S1,989,41,3368,14,514,49,72.34,97.14,21.8,0.0,0
2025-01-19,S1,1270,48,4222,19,411,55,72.09,96.26,21.6,0.0,0
2025-01-19,S1,1126,67,3652,16,413,54,71.89,95.99,24.2,0.0,0
2025-01-19,S1,1033,79,3539,25,478,54,72.62,95.93,23.1,0.0,0
2025-01-19,S1,897,73,3145,22,615,50,71.98,96.59,23.6,0.0,0
2025-01-19,S1,0,0,0,0,0,0,0.0,0.0,21.9,0.0,1
2025-01-20,S1,1088,29,3795,24,465,54,72.67,96.28,23.3,0.0,0
2025-01-20,S1,1324,52,4394,31,340,56,72.43,96.81,23.2,0.0,0
2025-01-20,S1,1351,78,4549,43,389,53,72.06,96.55,23.3,0.0,0
2025-01-20,S1,1209,70,4136,34,329,52,72.57,98.35,19.6,0.0,0
2025-01-20,S1,1351,50,4509,29,378,57,72.37,96.8,21.1,0.0,0
2025-01-20,S1,1344,68,4202,22,440,56,72.0,95.99,21.3,0.0,0
2025-01-20,S1,1084,55,3855,27,380,52,71.81,96.13,22.5,0.0,0
2025-01-20,S1,1286,40,4575,25,471,53,72.75,95.94,21.3,0.7,0
2025-01-20,S1,1337,34,4583,27,401,56,72.41,96.83,21.0,0.0,0
2025-01-20,S1,1306,54,4586,19,334,56,72.25,95.93,23.7,0.0,0
2025-01-21,S1,1162,48,3885,28,478,55,72.53,96.25,20.3,0.0,0
2025-01-21,S1,1425,52,4982,22,497,55,72.49,96.9,23.7,0.0,0
2025-01-21,S1,1316,83,4804,19,391,55,72.45,96.79,20.8,0.0,0
2025-01-21,S1,1426,55,4720,29,488,56,73.22,98.33,21.2,0.0,0
2025-01-21,S1,1308,44,4588,22,439,54,72.24,96.89,22.7,0.0,0
2025-01-21,S1,1009,45,3443,18,456,53,71.91,96.26,22.6,0.0,0
2025-01-21,S1,1158,60,3721,24,456,53,71.96,96.05,23.2,0.0,0
2025-01-21,S1,1339,80,4512,34,506,54,72.85,96.15,21.8,0.0,0
2025-01-21,S1,1213,49,4277,35,386,57,72.62,96.73,23.8,0.0,0
2025-01-21,S1,1196,42,3941,31,333,54,72.14,96.01,21.2,0.0,0
2025-01-22,S1,1317,60,4309,36,441,54,72.02,96.43,20.8,0.0,0
2025-01-22,S1,1269,33,4280,37,470,57,72.49,97.21,21.4,2.0,0
2025-01-22,S1,1258,82,4537,30,521,55,72.6,96.41,21.5,0.0,0
2025-01-22,S1,1413,45,4914,25,454,54,73.2,98.33,22.4,0.0,0
2025-01-22,S1,0,0,0,0,0,0,0.0,0.0,21.8,0.0,1
2025-01-22,S1,1320,46,4398,27,276,54,72.42,96.17,23.0,0.0,0
2025-01-22,S1,1379,55,4606,36,528,56,71.98,96.33,21.0,0.0,0
2025-01-22,S1,1449,74,4939,36,659,56,71.78,96.09,22.4,0.0,0
2025-01-22,S1,1414,60,4776,34,553,57,72.24,96.62,22.6,2.9,0
2025-01-22,S1,1340,26,4387,34,451,55,72.34,96.42,22.4,0.0,0
2025-01-23,S1,1194,173,4970,25,434,54,72.08,96.33,22.6,4.6,0
2025-01-23,S1,1381,19,4667,39,320,56,72.52,97.21,20.3,0.0,0
2025-01-23,S1,1192,56,4191,33,391,53,72.25,96.58,20.8,0.0,0
2025-01-23,S1,1310,32,4452,27,456,56,73.39,98.35,20.6,0.0,0
2025-01-23,S1,1061,72,3743,18,530,52,73.07,96.74,21.3,0.0,0
2025-01-23,S1,1319,49,4526,25,542,54,72.12,96.02,22.8,0.0,0
2025-01-23,S1,0,0,0,0,0,0,0.0,0.0,21.0,0.0,1
2025-01-23,S1,1361,28,4680,24,571,55,72.59,96.05,21.0,0.0,0
2025-01-23,S1,1407,71,4935,38,512,55,72.05,96.5,22.5,0.0,0
2025-01-23,S1,1299,43,4193,32,533,56,72.06,96.27,23.7,0.0,0
2025-01-24,S1,1117,41,3682,28,366,53,72.04,96.44,21.7,1.6,0
2025-01-24,S1,1302,58,4366,33,413,57,72.32,97.25,21.6,0.0,0
2025-01-24,S1,1226,37,4125,26,341,57,72.21,97.03,19.5,0.0,0
2025-01-24,S1,1559,61,5426,33,593,58,73.4,98.65,22.5,0.0,0
2025-01-24,S1,1185,64,3881,20,464,52,72.86,96.87,20.4,4.4,0
2025-01-24,S1,1167,57,3959,27,460,53,71.84,96.09,21.3,0.0,0
2025-01-24,S1,1314,69,4613,33,481,55,71.8,96.06,21.9,0.0,0
2025-01-24,S1,1385,81,4781,30,456,56,71.99,95.9,20.8,0.0,0
2025-01-24,S1,0,0,0,0,0,0,0.0,0.0,23.8,0.0,1
2025-01-24,S1,1336,263,6524,27,554,53,72.21,96.52,22.6,0.0,0
2025-01-25,S1,1193,58,3870,28,476,53,71.9,96.36,22.1,0.0,0
2025-01-25,S1,1156,77,3976,34,403,55,72.51,97.27,21.7,0.0,0
2025-01-25,S1,0,0,0,0,0,0,0.0,0.0,23.8,0.0,1
2025-01-25,S1,1219,59,4003,18,483,56,73.24,98.35,21.6,0.0,0
2025-01-25,S1,1206,54,4023,26,466,52,73.2,97.21,22.1,0.0,0
2025-01-25,S1,1346,15,4360,23,566,52,71.63,96.08,22.6,0.0,0
2025-01-25,S1,1292,43,4454,32,339,52,71.82,96.22,24.0,0.0,0
2025-01-25,S1,0,0,0,0,0,0,0.0,0.0,21.2,0.0,1
2025-01-25,S1,1259,242,6308,38,444,56,72.5,96.68,21.1,0.0,0
2025-01-25,S1,1215,34,3911,23,443,53,72.37,96.26,20.4,0.0,0
2025-01-26,S1,1150,43,3705,21,389,50,72.29,96.71,21.9,1.7,0
2025-01-26,S1,1061,68,3841,19,424,56,72.41,97.05,19.8,0.0,0
2025-01-26,S1,1076,53,3606,32,427,53,72.63,96.79,19.8,2.5,0
2025-01-26,S1,0,0,0,0,0,0,0.0,0.0,23.0,0.0,1
2025-01-26,S1,1030,91,3818,19,454,53,73.02,97.31,22.2,0.0,0
2025-01-26,S1,912,37,3186,26,466,51,72.14,95.95,20.5,0.0,0
2025-01-26,S1,970,38,3242,20,491,50,72.13,96.17,22.9,0.0,0
2025-01-26,S1,0,0,0,0,0,0,0.0,0.0,21.0,0.0,1
2025-01-26,S1,905,51,3103,15,470,53,72.74,96.73,22.4,0.0,0
2025-01-26,S1,0,0,0,0,0,0,0.0,0.0,20.5,3.9,1
2025-01-27,S1,1056,37,3559,17,588,52,71.78,96.23,21.3,0.0,0
2025-01-27,S1,1242,70,4255,18,531,54,73.18,97.07,21.6,0.0,0
2025-01-27,S1,1268,30,4358,31,483,53,72.92,96.85,22.5,0.0,0
2025-01-27,S1,1249,55,4416,22,529,53,73.27,98.83,22.0,0.0,0
2025-01-27,S1,1385,62,4805,33,325,55,72.91,97.1,21.6,0.0,0
2025-01-27,S1,1430,43,4729,27,407,54,71.82,96.29,24.3,0.0,0
2025-01-27,S1,1370,37,4545,36,573,55,72.44,96.31,24.3,0.0,0
2025-01-27,S1,1336,39,4379,36,495,57,71.73,96.31,21.8,0.0,0
2025-01-27,S1,1422,61,4935,31,380,54,72.2,96.79,22.0,0.0,0
2025-01-27,S1,1268,45,4263,28,428,55,72.05,96.44,23.9,0.0,0
2025-01-28,S1,1383,66,4748,24,537,56,72.21,96.46,21.5,0.0,0
2025-01-28,S1,1440,62,4855,28,431,54,73.05,97.13,22.2,0.0,0
2025-01-28,S1,1257,34,4528,25,539,53,72.75,96.98,20.8,0.0,0
2025-01-28,S1,1263,55,4453,20,444,57,73.53,98.84,22.9,0.0,0
2025-01-28,S1,1190,36,4160,28,380,52,72.73,97.36,22.9,0.0,0
2025-01-28,S1,1278,37,4287,33,426,54,71.8,96.2,21.8,0.0,0
2025-01-28,S1,1226,71,4004,34,354,56,71.93,96.28,20.5,0.0,0
2025-01-28,S1,1181,67,4154,28,386,55,71.94,96.33,21.6,0.0,0
2025-01-28,S1,1087,49,3631,33,397,51,72.55,96.92,18.9,0.0,0
2025-01-28,S1,1307,47,4461,25,438,56,72.19,96.24,20.6,2.4,0
2025-01-29,S1,1324,40,4504,23,327,57,72.67,96.63,25.3,0.0,0
2025-01-29,S1,1293,62,4392,23,397,53,71.91,97.6,22.1,0.0,0
2025-01-29,S1,1492,44,4776,44,421,58,72.45,96.77,21.3,1.1,0
2025-01-29,S1,1244,348,7004,28,654,53,72.45,97.22,22.4,0.0,0
2025-01-29,S1,1286,42,4110,30,311,52,71.88,96.13,21.2,0.0,0
2025-01-29,S1,1213,77,4264,30,495,52,72.12,96.18,22.5,0.0,0
2025-01-29,S1,1394,52,4478,30,534,56,72.5,96.15,22.1,0.0,0
2025-01-29,S1,1255,74,4415,33,401,55,72.07,96.89,21.8,0.0,0
2025-01-29,S1,1178,57,3842,31,394,53,72.32,96.08,22.6,0.0,0
2025-01-30,S1,1204,88,4473,22,590,53,72.44,96.5,20.8,0.0,0
2025-01-30,S1,0,0,0,0,0,0,0.0,0.0,20.6,0.0,1
2025-01-30,S1,1302,62,4507,36,445,55,72.36,96.93,22.2,2.0,0
2025-01-30,S1,0,0,0,0,0,0,0.0,0.0,22.4,0.0,1
2025-01-30,S1,1176,56,3720,21,453,54,71.96,95.94,20.4,0.0,0
2025-01-30,S1,1215,60,3879,28,401,55,72.02,96.03,22.1,0.0,0
2025-01-30,S1,1256,55,4146,32,598,51,71.9,96.21,23.3,0.0,0
2025-01-30,S1,1370,55,4530,30,544,53,72.58,96.95,21.1,0.0,0
2025-01-30,S1,1237,79,4488,20,377,54,72.66,96.21,22.9,0.0,0
2025-01-31,S1,1452,61,4658,39,421,55,72.21,96.46,21.0,0.0,0
2025-01-31,S1,1404,55,4999,42,458,56,72.77,96.65,23.8,0.0,0
2025-01-31,S1,1238,62,4190,32,514,53,72.81,97.53,24.9,0.0,0
2025-01-31,S1,1192,63,3839,26,565,54,71.99,96.25,21.4,0.0,0
2025-01-31,S1,1178,63,3861,32,454,54,72.25,96.16,20.8,0.0,0
2025-01-31,S1,1292,28,4421,28,413,55,72.12,96.45,23.0,6.5,0
2025-01-31,S1,1046,67,3619,31,481,56,72.6,96.8,21.1,3.0,0
2025-01-31,S1,1235,48,4128,21,428,53,72.19,96.21,20.8,0.0,0
2025-02-01,S1,1230,44,3759,30,526,55,72.01,96.54,23.6,0.0,0
2025-02-01,S1,1304,24,4477,22,460,52,72.64,96.81,23.7,0.0,0
2025-02-01,S1,1202,61,4378,25,520,53,73.1,97.64,22.2,0.0,0
2025-02-01,S1,1190,63,4002,25,664,54,72.23,95.77,23.7,0.0,0
